"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","TRADEGOOD","EXP","MLN_USD","A","2008",125239.6,
"CZE","TRADEGOOD","EXP","MLN_USD","A","2009",100319.4,
"CZE","TRADEGOOD","EXP","MLN_USD","A","2010",114995.1,
"CZE","TRADEGOOD","EXP","MLN_USD","A","2011",137933.8,
"CZE","TRADEGOOD","EXP","MLN_USD","A","2012",134306.3,
"CZE","TRADEGOOD","EXP","MLN_USD","A","2013",137083.5,
"CZE","TRADEGOOD","EXP","MLN_USD","A","2014",146442.3,
"CZE","TRADEGOOD","EXP","MLN_USD","A","2015",128213.8,
"CZE","TRADEGOOD","EXP","MLN_USD","A","2016",130560.7,
"CZE","TRADEGOOD","EXP","MLN_USD","A","2017",145477.9,
"CZE","TRADEGOOD","EXP","MLN_USD","A","2018",161723.6,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2007",101403.2,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2008",117409.1,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2009",94387.5,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2010",101097.2,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2011",118063.2,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2012",111313.2,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2013",116851.2,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2014",119208.8,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2015",103369.5,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2016",103841,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2017",111889.8,
"DNK","TRADEGOOD","EXP","MLN_USD","A","2018",119579.5,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2007",98173.07,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2008",104257.1,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2009",71210.02,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2010",74849.99,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2011",82554.79,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2012",76455.69,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2013",77771.38,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2014",74381.53,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2015",58809.59,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2016",58303.75,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2017",67022.34,
"FIN","TRADEGOOD","EXP","MLN_USD","A","2018",74958.3,
"FRA","TRADEGOOD","EXP","MLN_USD","A","2007",543583.8,
"FRA","TRADEGOOD","EXP","MLN_USD","A","2008",598287.4,
"FRA","TRADEGOOD","EXP","MLN_USD","A","2009",469238.4,
"FRA","TRADEGOOD","EXP","MLN_USD","A","2010",507440.9,
"FRA","TRADEGOOD","EXP","MLN_USD","A","2011",586894.1,
"FRA","TRADEGOOD","EXP","MLN_USD","A","2012",560981.4,
"FRA","TRADEGOOD","EXP","MLN_USD","A","2013",582088.6,
"FRA","TRADEGOOD","EXP","MLN_USD","A","2014",580107.3,
"FRA","TRADEGOOD","EXP","MLN_USD","A","2015",521999.2,
